ground.truth,V,V.1,V.2,V.3,V.4,V.5,V.6,V.7,V.8
nominal,0.954736039558517,0.389089321084738,0.000249471088424276,1.98262807698925,-0.0344912414815925,0.805633716357868,-0.103899040454445,0.984461004539289,0.00539023266182758,-0.465854822556949
nominal,0.973141564556225,-0.0194714424583774,0.000249471088424276,1.08403122314196,-0.00711012151427251,0.528627178228995,-0.0211775684257397,0.75565297672663,-0.087988947262304,-0.465854822556949
nominal,0.982400791068893,-0.836592969544607,0.0130768852095307,-1.05013630474534,-0.00711012151427251,0.159285127390496,0.0109918929187569,0.0692288932886509,-0.648264026807093,-0.543937066541179
nominal,0.976930669172758,0.0622407102502456,0.0130768852095307,-0.263864057628962,-0.00711012151427251,0.713298203648244,0.0385657169283254,-0.235848477128229,-0.835022386655356,-0.543937066541179
nominal,0.954900479204889,0.143952862958869,-0.0125779430326821,-0.488513271090783,0.0750332383876873,0.713298203648244,-0.00739065642095547,-0.388387162336668,-0.881711976617422,-0.543937066541179
nominal,0.981174320499457,-0.836592969544607,0.0387317134517435,-1.05013630474534,-0.00711012151427251,0.159285127390496,0.0569482662680378,0.0692288932886509,-0.648264026807093,-0.543937066541179
nominal,0.956603965861092,2.7587417496348,0.000249471088424276,0.0731097625637697,0.102414358355007,-2.14910269035012,-0.00739065642095547,-2.52392875525482,2.24649055084098,3.12592840071764
nominal,0.969723418617821,-0.91830512225323,0.000249471088424276,-0.263864057628962,-0.00711012151427251,-0.856405512415374,-0.0487513924353083,0.75565297672663,0.799113262016946,0.314967617285354
nominal,0.979963143709685,-0.591456511418738,-0.0382327712748949,-0.600837877821693,-0.00711012151427251,0.343956152809745,0.0753308156077501,0.145498235892871,-0.554884846882962,-0.543937066541179
nominal,0.981184671959886,3.00387820776067,-0.0125779430326821,0.410083582756501,-0.00711012151427251,-1.50275410138275,-0.0303688430955959,-2.52392875525482,1.63952588133413,2.65743493681226
nominal,0.965455310142586,-0.91830512225323,0.000249471088424276,-0.488513271090783,-0.00711012151427251,-1.13341205054425,-0.0625383044400925,0.60311429151819,0.939182031903143,0.471132105253814
nominal,0.958959747022384,0.0622407102502456,0.000249471088424276,1.64565425679652,-0.00711012151427251,0.713298203648244,0.0799264529426782,1.13699968974773,0.00539023266182758,-0.543937066541179
nominal,0.954713800465094,0.961074390045098,-0.0254053571537885,2.65657571737471,-0.0892534814162324,1.17497576719637,-0.00739065642095547,0.908191661935069,-0.0412993573002382,-0.543937066541179
nominal,0.980791564617689,-0.428032206001492,-0.0125779430326821,-0.713162484552604,-0.00711012151427251,0.43629166551937,0.0615439036029658,-0.159579134524009,-0.741643206731225,-0.543937066541179
nominal,0.964716978805803,-0.91830512225323,0.000249471088424276,2.20727729045107,0.0202709984530474,-0.671734486996125,-0.034964480430524,2.35730917141525,1.54614670141,0.0807208853326629
nominal,0.961430173565335,-0.509744358710115,0.0130768852095307,-0.713162484552604,0.184557718256967,0.343956152809745,-0.00739065642095547,-0.007040449315569,-0.601574436845027,-0.543937066541179
nominal,0.968101971642685,2.59531744421756,0.000249471088424276,-0.151539450898051,-0.00711012151427251,-2.70311576660787,0.0431613542632535,-2.52392875525482,2.76007604042371,3.59442186462303
nominal,0.96042756745761,0.389089321084738,0.000249471088424276,0.0731097625637697,0.0476521184203674,0.897969229067493,-0.00739065642095547,-0.312117819732448,-0.881711976617422,-0.543937066541179
nominal,0.972314453205947,-0.91830512225323,0.000249471088424276,-0.825487091283514,-0.00711012151427251,-0.671734486996125,-0.0303688430955959,0.37430626370553,0.285527772434222,0.0807208853326629
